prompt,Response,Reviewer-2
,"Operating system is a system software, which acts as an interface between user of computer and the computer hardware.
 The main purpose of an Operating System is to provide an environment in which we can execute programs.",
,"Manage computer memory, processes and athe operation of all hardware and software.",
,It manage the computer resources and process the requests and execute the processes.,
,Process handling and management.,
,"Error detection
Memory management
Accounting
Coordination between other software and users",
,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software.",
,To provides environment in which we can execution programs,
,"To maintain the memory allocation and deallocation, and to increase processor speed ",
,eflbdvf,
,"An operating system is the most important software that runs on a computer. It manages the computer's memory and processes, as well as all of its software and hardware. It also allows you to communicate with the computer without knowing how to speak the computer's language. Without an operating system, a computer is useless.Your computer's operating system (OS) manages all of the software and hardware on the computer. Most of the time, there are several different computer programs running at the same time, and they all need to access your computer's central processing unit (CPU), memory, and storage. The operating system coordinates all of this to make sure each program gets what it needs.",
,eflbdv,
,"It can manage cpu, disks, memory, resources, hardware, input devices, output devices",
,eflbdv,
,The operating system provides the ways to interact with the system cpu and to do work based on certain problem. It provides different applications called programs  for the users to perform different activities. ,
,bridge with hardware and sofware,
,bridge with hardware and sofware,
,eflbdv,
,It provides an environment to execute programs.,
,To provide an interface between user and hardware. It also provides basis for application programs,
,The main purpose of operating system is form communication between user and hardware .,
,eflbdv,
,"Operating system is system software,which acts as an interface between a user of the computer and the computer hardware.The main purpose of an operating system is to provide an environment in which we can execute programs.",
,"1.Manage a computer's resources,such as the cpu, memory and printers
2.Establish a user interface .
3.Execute and provide services for applications software",
,"Single processor system contains only one processor while multiprocessor systems may contain two or more processors. ... On the other hand, multiprocessor systems have many processors that can perform different tasks. This can be done in symmetric or asymmetric multiprocessing",
,"operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... ",
,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.
Controls the backing store and peripherals such as scanners and printers.
Deals with the transfer of programs in and out of memory.
Organises the use of memory between programs.
Organises processing time between programs and users.
Maintains security and access rights of users.
Deals with errors and user instructions",
,"The two main goal of the Operating System is 1) primary goal : convenience » interaction between the user and Hardware 
2) secondary goal : Efficiency 

 it is in the case of Personal Computers, 
Where's in case of super computers it's vice versa 

In case if we don't have Operating System,  we are supposed to write entire code. 

If many people need the same functionality instead of asking every one to implement it, Operating System is going to provide it at one place by system calls. So that the user can directly use the functionality need not to bother about their implementation. ",
,"(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",
,"1.An operating system is the most important software that runs on a computer. It manages the computer's memory and processes,also its software and hardware. 
2.It also allows you to communicate with the computer.
3.Acts as interface between user and hardware. ",
,"The two main goal of the Operating System is 1) primary goal : convenience » interaction between the user and Hardware 
2) secondary goal : Efficiency 

 it is in the case of Personal Computers, 
Where's in case of super computers it's vice versa 

In case if we don't have Operating System,  we are supposed to write entire code. 

If many people need the same functionality instead of asking every one to implement it, Operating System is going to provide it at one place by system calls. So that the user can directly use the functionality need not to bother about their implementation.",
,Main purpose of the operating system is to provide an environment for the user to operate hardware and to proper managing of hardware resources for computing,
,"Main puropses of an operating system
Program Execution
Handling Input/Output Operations
Manipulation of File System
Error Detection and Handling
Resource Allocation
Accounting
Information and Resource Protection.",
,"primary purpose and goal of an operating system is to manage all resources of hardware and software.
Some other purposes are Memory Management, Perform all Loading and Execution tasks, Peripheral Controlling",
,"Operating systems is system software,which acts as an interface between a user of the computer and the computer hardware.",
,The purpose of os is to provide a platform on which user can execute programs in an efficient manner. Os is a piece of software that manages all computer hardware & locations,
,"The main purpose of an Operating system is to manage all Resources of hardware and software . Some other purposes are memory management , file management , execution tasks etc.",
,"An operating system as 3 main functions:
Manage the computer resources.
Establish a user interface and
Execute and provide services for application software.",
,"Controls the backing store and peripherals such as scanners and printers.
Deals with the transfer of programs in and out of memory.
Organises the use of memory between programs.
Organises processing time between programs and users.
Maintains security and access rights of users.
Deals with errors and user instructions.",
,"Operating system serves as many purposes.
1.Operating system can be considered as 
 a translator between user and computer.
2.cpu can understand only 0s and 1s that we use today.
3.That are written in some high level language like c or java etc.
",
,"The Main Purpose of Operating System is:
1) To Manage a computer’s resources. This includes, among other things, the Central Processing Unit (CPU), Memory, Disk Drives, Printers, etc.
2)Establish a user interface. As previously discussed, it provides a bridge between user and computer.
3) Execute and provide services for software. As it says, it interacts with software in order to allot it any of the necessary resources for it to run.",
," manage all resources of hardware and software is the main goal.
Some other purposes are Memory Management, Perform all Loading and Execution tasks, Peripheral Controlling",
,"primary purpose and goal of an operating system is to manage all resources of hardware and software.
Some other purposes are Memory Management, Perform all Loading and Execution tasks, Peripheral Controlling",
,"The Main Purpose of Operating System is:
1) To Manage a computer’s resources. This includes, among other things, the Central Processing Unit (CPU), Memory, Disk Drives, Printers, etc.
2)Establish a user interface. As previously discussed, it provides a bridge between user and computer.
3) Execute and provide services for software. As it says, it interacts with software in order to allot it any of the necessary resources for it to run.",
,"Operating system serves as many purposes.
1.Operating system can be considered as 
 a translator between user and computer.
2.cpu can understand only 0s and 1s that we use today.
3.That are written in some high level language like c or java etc.",
,"primary purpose and goal of an operating system is to manage all resources of hardware and software.
Some other purposes are Memory Management, Perform all Loading and Execution tasks, Peripheral Controlling",
,"Deals with the transfer of programs in and out of memory.
Organises the use of memory between programs.
Organises processing time between programs and users.
",
,"The Main Purpose of Operating System is:
1) To Manage a computer’s resources. This includes, among other things, the Central Processing Unit (CPU), Memory, Disk Drives, Printers, etc.
2)Establish a user interface. As previously discussed, it provides a bridge between user and computer.
3) Execute and provide services for software. As it says, it interacts with software in order to allot it any of the necessary resources for it to run.",
, The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,The main purpose Of an operating system is to provide an environment in which we can execute programs,
,"It is a system software that manages computer hardware, software resources and provides common services for computer programs",
,It manages the computer memory and it's processes its an interface between the user and hardware which allows us to communicate with computer ,
,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software",
,"1. Deals with the transfer of programs in and out of a memory.
2. Organises the use of memory  between programs.
3.organises processing time  between programs and users.",
,Operating System is something which acts like an interface between user of the computer and the computer hardware. Its main purpose is to provide an environment in which we can execute our programs.,
,"The main purpose of an Operating System is to provide an environment in which we can execute programs.
1,Controls the backing store and peripherals such as scanners and printers.
2,Deals with the transfer of programs in and out of memory.
3.Organises the use of memory between programs.
4.Organises processing time between programs and users.
5.Maintains security and access rights of users.
6.Deals with errors and user instructions.",
,"Operating system is the interface between user and hardware devices.it is system software,and also it is peace of software that manages the allocation of computer hardware.the main purpose of operating system is to provide an platforms on which a user can execute programs in a convenient and efficient manner.",
,"The main purpose of operating system is to provide an environment in which we execute programs. the main purpose of operating system is to provide convenience for the users and to have efficiency. The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software. ",
,Operating system is the interface between the user and the computer. It gives environment for the programs to execute.,
,"An operating system has three main functions:
 (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers,
 (2) establish a user interface, and
 (3) execute and provide services for applications software.",
,"An operating system has three main functions:
 (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers,
 (2) establish a user interface, and
 (3) execute and provide services for applications software.",
,It provides an environment in which we can execute the program because os is interface between the user of the computer and computer hardware,
,To provide an environment in which we can execute programs,
,"1.provide an environment
2.to provide an environment in which we can exicute programs
",
,"An operating system has three main functions: 
1.manage the computer's resources, such as the central processing unit, memory, disk drives.
2.establish a user interface.
3.execute and provide services for applications software. ",
,"An operating system has three main functions:
1.Manage the computer's resources, such as the central processing unit, memory , disk drives, and printers
2.establish a user interface
3.execute and provide services for application software. ",
,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. 
*The main purpose of an Operating System is to provide an environment in which we can execute programs.
*Controls the backing store and peripherals such as scanners and printers.
*Deals with the transfer of programs in and out of memory.
*Organises the use of memory between programs.
*Organises processing time between programs and users.
*Maintains security and access rights of users.
Deals with errors and user instruction",
,The main purpose of an operating system is to provide an environment in which we can execute programs.,
,"The main purpose of the operating system is to allow User  to execute programs in convenient and efficient manner.Operating System is responsible  for the following:
1.execution of all processes
2.CPU Management
3.Resource Allocation
4.File management and many other .
Thus it makes easy for the user to execute programs or provides the environment for user to execute the programs in a much efficient manner.",
,"Operating system has three main functions  1. Manage the computer's resources  such as the central processing  unit , memory, disk drives, and printers 2. Establish  a user interface, and 3.execte and provide services  functions  application software the main purpose  if operating  system  is to provide  an environment in which  we can execute  programs ",
,"It is an interface between the user of the computer and the computer hardware. 
The main purpose of operating system is to provide an environment in which we can execute programs.
It maintains the security and access right of users
It also organises the use of memory between programs.",
,"The operating system serves many purposes :- 
1. primary purpose and goal of an Operating system is to manage all the resources of hardware and software connected with computer. 
     Without operating system all computer system are helpless, because operating system create the interface between user and hardware. 
2. It is the responsibility  operating system is to translate the high level language to low level language  which the computer can understand. 
",
,"- Manages the computer hardware 
- Designed to be convenient and efficient 
- Helpful to the user 
               - Acts as an intermediary between the user and the computer hardware 
                             - user interface (CUI/shell and GUI) 
               - Facilitates execution of application programs 
                             - program execution 
               - I/O operation 
               - file system manipulation 
               - communication 
               - error detection 
- Helpful to the system 
               - The operating system provides the means for proper use of the resources in the 
                  operation of the computer system.
                            - resource allocation 
               - accounting 
               - protection and security
- Caching 
- Input-output management
- Manages processes, storages, memory etc..",
,To provide environment in which we can execute programs,
,"An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",
,"1) manage the computer's resources, such as the central processing unit, memory and printers
 (2) establish a user interface
(3) execute and provide services for applications software",
,"An operating system has three main functions:
1.manage the computer's resouces,such as the central processing unit,memory,disk drives,and printers
2.establish a user interface
3.execute and provide services for applications of software",
,The operating system is a system software. Which act as interface between a user of the computer hardware. The main purpose of on operating system is to provide an environment in which we can execute programs. ,
,to provide an environment in which we can execute programs.,
,"Operating System is system software, which acts as an interface between a user of the computer and the computer hardware.The main purpose of an Operating system is to provide an environment in which we can execute programs. ",
,The main purpose of Operating system is to provide an environment in which we can execute programs.Operating system is a set of programs that lies between software and hardware of a computer.,
,Main purpose is to provide an environment in which we can execute programs,
,"Operating system is system software,which acts as an interface between a user of the computer and the computer hardware.The main purpose of an operating system is to provide an environment in which we can execute program.
",
,Is to provide an environment in which we can execute programs.,
,"It is a software that manages computer hardware, software resources, and provides common services for computer programs.",
,"An O.S manges the computer's resources,such as the central processing unit,memory disk drives and printers and establish a user interface
Excute and provides services for applications software",
,Operating system is system software which acts as an interface between a user of the computer and the computer hardware. The main purpose of an operating system is to provide an environment in which we can execute program. ,
,"An operating system has three main functions: manage the computes resources,such as the central processing unit, memory,disk drives,and printers.2.establish a user interface,and 3.execute and provide services for application software",
,"OS is a system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an OS is to provide an environment in which we can execute program
",
,"Manage the computer resoures such as central processing unit , memory ,disk drive and printers.
Establish a user interface and.
Execute and provide services for applications software.",
,"The main purpose of an operating system is to provide an environment in which we can execute programs. (OS) operating system is system software, which acts as an interface between a user of the computer and the computer hardware. ",
,"Operating System is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.
Controls the backing store and peripherals such as scanners and printers.Deals with the transfer of programs in and out of memory.Organises the use of memory between programs.Organises processing time between programs and users.Maintains security and access rights of users.Deals with errors and user instructions.",
,"The main purpose of an operating system is to provide an environment in which we can execute programs
*An operating system is a piece  of software which manages the allocation of computer hardware",
how operating system handle multiple tasks at a time?,"Multitasking operating systems use a single CPU to work on a number of tasks. The operating system determines which task the CPU will work on at any given time, pausing tasks as needed, so that all tasks are completed as efficiently as possible.",
,"Multitasking operating systems use a single CPU to work on a number of tasks. The operating system determines which task the CPU will work on at any given time, pausing tasks as needed, so that all tasks are completed as efficiently as possible.",
,"When multitasking, latency or delay is noticeable only on applications that require higher resources; like, for instance, higher memory or graphics capabilities. This is because, during multitasking, the operating system executes more than one task by sharing common resources like the CPU and memory.",
,It switches the work from one to another based one which has high priority ,
,sharing the resources between them,
,"Operating system handle multiple task by locating CPU resources
Context switch
Handle hardware interpretation",
,Threads ,
,by creating threads,
,"Multitasking, in an operating system, is allowing a user to perform more than one computer task (such as the operation of an application program) at a time. The operating system is able to keep track of where you are in these tasks and go from one to the other without losing information.",
,OS handles multiple tasks by CPU scheduling algorithm.,
,"New tasks can interrupt already started ones before they finish, instead of waiting for them to end. As a result, a computer executes segments of multiple tasks in an interleaved manner, while the tasks share common processing resources such as central processing units (CPUs) and main memory.",
,The OS can divide tasks and handle it to each of the processor.,
,"The user gives instructions to the operating system or to a program directly, and receives an immediate response.

The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.

Multitasking Operating Systems are also known as Time-sharing systems.

These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.

A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory.",
,"Multitasking is when multiple jobs are executed by the CPU simultaneously by switching between them. Switches occur so frequently that the users may interact with each program while it is running. An OS does the following activities related to multitasking −

The user gives instructions to the operating system or to a program directly, and receives an immediate response.

The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.

Multitasking Operating Systems are also known as Time-sharing systems.

These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.

A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory.",
,"The user gives instructions to the operating system or to a program directly, and receives an immediate response.
The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.
Multitasking Operating Systems are also known as Time-sharing systems.",
,"Multitasking
Multitasking is when multiple jobs are executed by the CPU simultaneously by switching between them. Switches occur so frequently that the users may interact with each program while it is running. An OS does the following activities related to multitasking −

The user gives instructions to the operating system or to a program directly, and receives an immediate response.

The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.

Multitasking Operating Systems are also known as Time-sharing systems.

These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.

A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory",
,"The OS makes it possible to run several programs at once. Several programs can be stored in RAM at the same time, however only one program at a time is processed by the CPU.",
,multitasking is the concurrent execution of multiple tasks (also known as processes) over a certain period of time. ,
,"Multitasking operating system provides the interface for executing the multiple program tasks by single user at a same time on the one computer system. For example, any editing task can be performed while other programs are executing concurrently. Other example, user can open Gmail and Power Point same time.",
,"When multitasking, latency or delay is noticeable only on applications that require higher resources; like, for instance, higher memory or graphics capabilities. This is because, during multitasking, the operating system executes more than one task by sharing common resources like the CPU and memory.",
,With the operation system it will operate the operating system,
,The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.,
,"Multitasking is when multiple jobs are executed by the CPU simultaneously by switching between them. Switches occur so frequently that the users may interact with each program while it is running. An OS does the following activities related to multitasking −

The user gives instructions to the operating system or to a program directly, and receives an immediate response.

The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.

Multitasking Operating Systems are also known as Time-sharing systems.

These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.

A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory.",
,"Multitasking, in an operating system, is allowing a user to perform more than one computer task (such as the operation of an application program) at a time. The operating system is able to keep track of where you are in these tasks and go from one to the other without losing information.",
,"Multitasking is the concurrent execution of multiple tasks over a certain period of time. New tasks can interrupt already started ones before they finish, instead of waiting for them to end. As a result, a computer executes segments of multiple tasks in an interleaved manner, while the tasks share common processing resources such as central processing units (CPUs) and main memory. Multitasking automatically interrupts the running program, saving its state (partial results, memory contents and computer register contents) and loading the saved state of another program and transferring control to it. This ""context switch"" may be initiated at fixed time intervals (pre-emptive multitasking), or the running program may be coded to signal to the supervisory software when it can be interrupted (cooperative multitasking). ",
,"Multitasking is when multiple jobs are executed by the CPU simultaneously by switching between them. Switches occur so frequently that the users may interact with each program while it is running. An OS does the following activities related to multitasking

1.The user gives instructions to the operating system or to a program directly, and receives an immediate response.

2.The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.

3. Multitasking Operating Systems are also known as Time-sharing systems.

4.These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.

5.A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory.",
,"Multitask operating systems allow the use of a single computing resource by multiple users at the same given time, this is done as the computer has the ability to switch rapidly between users and what they require. One processor cannot change the data of another process in the main memory, each process uses it’s own allocated space.
",
,The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.,
,"Multitasking, the OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.",
,The os handles multitasking in the way that it can handle multiple operation and executes multiple programs at a time a time shared operating system uses the concept of cpu scheduling and multiprogramming to provide each user with a small portion of a time shared cpu.,
,"User gives instructions to the operating system or to a program directly, and receives an immediate response.
These are also known as Time sharing systems.",
,"When multitasking, latency or delay is noticeable only on applications that require higher resources; like, for instance, higher memory or graphics capabilities. This is because, during multitasking, the operating system executes more than one task by sharing common resources like the CPU and memory.",
,multithreading,
,Executes multiple task at a time,
,"Multitasking operating systems use a single CPU to work on a number of tasks. The operating system determines which task the CPU will work on at any given time, pausing tasks as needed, so that all tasks are completed as efficiently as possible.",
,"New tasks can interrupt already started ones before they finish, instead of waiting for them to end. As a result, a computer executes segments of multiple tasks in an interleaved manner, while the tasks share common processing resources such as central processing units (CPUs) and main memory.",
,"By multiprocessor ,multitasking ",
,"Multi tasking:
1.The user gives instructions to the operating system or to a program directly, and receives an immediate response.
2.The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.
3.Multitasking Operating Systems are also known as Time-sharing systems",
,"Multitasking is the capability of the operating system of running several applications at the same time. It is therefore deeply related to the OS capability for managing shared resources, and in particular for arbitrating conflicts resulting from resource over-commitment. In a multitasking environment, the totality of the computer’s resources (memory, files, CPU time) are allocated to different applications, and they are managed in such a way that each one of them gets a share according to specific priority policies.",
,"Multitasking
The user gives instructions to the operating system or to a program directly, and receives an immediate response.
The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.
Multitasking Operating Systems are also known as Time-sharing systems.",
,"When multitasking, latency or delay is noticeable only on applications that require higher resources; like, for instance, higher memory or graphics capabilities. This is because, during multitasking, the operating system executes more than one task by sharing common resources like the CPU and memory.",
,"Multitasking operating systems use a single CPU to work on a number of tasks. The operating system determines which task the CPU will work on at any given time, pausing tasks as needed, so that all tasks are completed as efficiently as possible.",
,Analysing,
,By scheduling the processes for which cpu is alloted using process scheduling algorithms,
,"An OS does the following activities related to multitasking −

The user gives instructions to the operating system or to a program directly, and receives an immediate response.

The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.

Multitasking Operating Systems are also known as Time-sharing systems.

These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.

A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory.",
,"Multitasking is when multiple jobs are executed by the CPU simultaneously by switching between them. Switches occur so frequently that the users may interact with each program while it is running. An OS does the following activities related to multitasking −

The user gives instructions to the operating system or to a program directly, and receives an immediate response.

The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.

Multitasking Operating Systems are also known as Time-sharing systems.

These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.

A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory.",
,A single cpu to work on a number of task,
,"•Multitasking operating systems use a single CPU to work on a number of tasks. •The operating system determines which task the CPU will work on at any given time, pausing tasks as needed, so that all tasks are completed as efficiently as possible.",
,"An operating system (OS), is a collection of software that manages computer hardware resources and provides common services for computer programs.
An operating system is the core software, which allows a computer system to operate and execute its command as it was intended to do so.The operating system manages the user interface, hardware, and all other software components.",
,"Multitasking operating systems use a single CPU to work on a number of tasks. The operating system determines which task the CPU will work on at any given time, pausing tasks as needed, so that all tasks are completed as efficiently as possible.",
,"The user gives instructions to the operating system or to a program directly, and receives an immediate response.
The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.
Multitasking Operating Systems are also known as Time-sharing systems.",
,"During multitasking, the operating system executes more than one task by sharing common resources like the CPU and memory.",
,"The user gives instructions to the operating system or to a program directly, and receives an immediate response.
The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.
Multitasking Operating Systems are also known as Time-sharing systems.",
,"An operating system (OS), is a collection of software that manages computer hardware resources and provides common services for computer programs.An operating system is the core software, which allows a computer system to operate and execute its command as it was intended to do so.The operating system manages the user interface, hardware, and all other software components.",
,"The user gives instructions to the operating system or to a program directly, and receives an immediate response.",
,"Multitasking, in an operating system, is allowing a user to perform more than one computer task (such as the operation of an application program) at a time. Each task consumes system storage and other resources. ... As more tasks are started, the system may slow down or begin to run out of shared storage.",
,"The user gives instructions to the operating system or to a program directly, and receives an immediate response.
The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.
Multitasking Operating Systems are also known as Time-sharing systems.",
,"1.the user gives instructions to the operating system or to a program directly, and receives an immediate response. 
2 the os handle multitasking in the way that it can handle multiple operations/executes multiple programs at a time",
,"* the user gives instructions to the operating system or to a program directly ,and receives an immediate response 
* the OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time
*multitasking operating systems are also known as time-sharing systems ",
,Program complie time and run time,
,Multiple tasks in cpu central processing  unit to work on number of tasks the operating system determines which task as needed that all risk as completed as efficiently as possible ,
,"When multitasking, latency or delay is noticeable only on applications that require higher resources; like, for instance, higher memory or graphics capabilities. This is because, during multitasking, the operating system executes more than one task by sharing common resources like the CPU and memory.",
,". An OS does the following activities related to multitasking −

The user gives instructions to the operating system or to a program directly, and receives an immediate response.

The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.

Multitasking Operating Systems are also known as Time-sharing systems.

These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.

A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory.",
,Using support of processor,
,"Multitasking operating system vworks on more than one task by switching btw them in a quick manner.
Tasks may concern a single user or multiple users, the OS will ultimately save the current state of each user and task so that it does not lose its place when it comes back to a task to resume the execution. 
This allows for efficiency and allows the system to switch smoothly between tasks.",
,"Multitasking
Multitasking is when multiple jobs are executed by the CPU simultaneously by switching between them. Switches occur so frequently that the users may interact with each program while it is running. An OS does the following activities related to multitasking −

The user gives instructions to the operating system or to a program directly, and receives an immediate response.

The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.

Multitasking Operating Systems are also known as Time-sharing systems.

These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.

A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory.

A program that is loaded into memory and is executing is commonly referred to as a process.

When a process executes, it typically executes for only a very short time before it either finishes or needs to perform I/O.

Since interactive I/O typically runs at slower speeds, it may take a long time to complete. During this time, a CPU can be utilized by another process.

The operating system allows the users to share the computer simultaneously. Since each action or command in a time-shared system tends to be short, only a little CPU time is needed for each user.

As the system switches CPU rapidly from one user/program to the next, each user is given the impression that he/she has his/her own CPU, whereas actually one CPU is being shared among many users.",
,"The user gives instructions to the operating system or to a program directly, and receives an immediate response.",
,By adopting Multitasking / Multiprocessor operating system,
,By switching,
,Operating Systems(OS)use a single CPU to work on a number of tasks.,
,The os handles multitasking in the way that it can handle multiple operations/ executes multiple programs at a time .,
,"When multitasking, latency or delay is noticeable only on applications that require higher resources; like, for instance, higher memory or graphics capabilities. This is because, during multitasking, the operating system executes more than one task by sharing common resources like the CPU and memory.",
,"A time-shared operating system uses the concept of CPU scheduling and multiprogramming to provide each user with a small portion of a time-shared CPU.

Each user has at least one separate program in memory.
A program that is loaded into memory and is executing is commonly referred to as a process.

When a process executes, it typically executes for only a very short time before it either finishes or needs to perform I/O.

Since interactive I/O typically runs at slower speeds, it may take a long time to complete. During this time, a CPU can be utilized by another process.

The operating system allows the users to share the computer simultaneously. Since each action or command in a time-shared system tends to be short, only a little CPU time is needed for each user.

As the system switches CPU rapidly from one user/program to the next, each user is given the impression that he/she has his/her own CPU, whereas actually one CPU is being shared among many users.",
,"By using multitasking operating system handle multiple tasks at a time. Multitasking will allow the user to perform more than one task on an application program at a given time. Almost all operating system nowadays use multitask systems. Users of these systems are always in need of the system to carry out multitask operations, a simple operation which requires multitasking is using a web browser and a word documents at the same time. ",
,The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time,
,"The term in which an OS handles multiple taks is called ""multitasking"". Multitasking is the ability of an operating system to execute more than one task simultaneously on single processor machine, these multiple tasks share common resources such as CPU and memory.",
,The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time. Multitasking Operating Systems are also known as Time-sharing systems. These Operating Systems were developed to provide interactive use of a computer system at a reasonable cost.,
,It can handle multitask with mutiprocessing of operating system.,
,Multitasking operating systems use a single CPU to work on a number of tasks.,
,"1. The user gives instructions to the operating system or to a program directly, and receives an immediate response.
2. The OS handles multitasking in the way that it can handle multiple operations/executes multiple programs at a time.
3. Multitasking Operating Systems are also known as Time-sharing systems.",
,"By using Concurrency control  method,by sharing resources among the requests,and took control over resources which have been using currently.",
,"Multitasking, in an operating system, is allowing a user to perform more than one computer task (such as the operation of an application program) at a time. The operating system is able to keep track of where you are in these tasks and go from one to the other without losing information. Microsoft Windows 2000, IBM's OS/390, and Linux are examples of operating systems that can do multitasking (almost all of today's operating systems can). When you open your Web browser and then open Word at the same time, you are causing the operating system to do multitasking.

Being able to do multitasking doesn't mean that an unlimited number of tasks can be juggled at the same time. Each task consumes system storage and other resources. As more tasks are started, the system may slow down or begin to run out of shared storage.

It is easy to confuse multitasking with Multithreading, a somewhat different idea.",
